,tweet_id,rating_numerator,rating_denominator,name,stage
193,855459453768019968,12.0,10.0,None,None
196,854732716440526848,12.0,10.0,Marlee,None
197,854482394044301312,13.0,10.0,Arya,None
198,854365224396361728,13.0,10.0,Einstein,None
199,854120357044912130,14.0,10.0,None,pupper
200,854010172552949760,11.0,10.0,None,doggo
201,853760880890318849,12.0,10.0,Alice,None
202,853639147608842240,13.0,10.0,None,None
203,853299958564483072,13.0,10.0,Rumpole,None
205,852912242202992640,12.0,10.0,Benny,None
206,852672615818899456,12.0,10.0,Aspen,None
207,852553447878664193,13.0,10.0,Jarod,None
208,852311364735569921,13.0,10.0,Wiggles,None
209,852226086759018497,14.0,10.0,General,None
210,852189679701164033,12.0,10.0,Sailor,None
213,851591660324737024,11.0,10.0,None,None
214,851464819735769094,14.0,10.0,Iggy,None
215,851224888060895234,13.0,10.0,Snoop,None
216,850753642995093505,11.0,10.0,Kyle,None
217,850380195714523136,13.0,10.0,Leo,None
218,850333567704068097,13.0,10.0,None,None
219,850145622816686080,11.0,10.0,Riley,None
220,850019790995546112,12.0,10.0,Boomer,pupper
221,849776966551130114,12.0,10.0,None,None
223,849412302885593088,12.0,10.0,Noosh,None
224,849336543269576704,11.0,10.0,None,None
225,849051919805034497,13.0,10.0,Kevin,None
226,848690551926992896,12.0,10.0,None,None
227,848324959059550208,12.0,10.0,Odin,None
228,848213670039564288,11.0,10.0,None,None
229,848212111729840128,6.0,10.0,Jerry,None
232,847962785489326080,10.0,10.0,Georgie,None
233,847842811428974592,12.0,10.0,Rontu,None
234,847617282490613760,13.0,10.0,None,None
235,847606175596138505,12.0,10.0,Cannon,None
236,847251039262605312,12.0,10.0,Furzey,None
237,847157206088847362,11.0,10.0,Daisy,None
238,847116187444137987,11.0,10.0,None,None
239,846874817362120707,13.0,10.0,Tuck,None
240,846514051647705089,13.0,10.0,Barney,doggo
241,846505985330044928,11.0,10.0,None,None
242,846153765933735936,13.0,10.0,Vixen,None
243,846139713627017216,13.0,10.0,None,None
244,846042936437604353,12.0,10.0,Jarvis,None
245,845812042753855489,13.0,10.0,None,None
246,845677943972139009,12.0,10.0,None,None
248,845397057150107648,13.0,10.0,Mimosa,doggo
249,845306882940190720,12.0,10.0,Pickles,pupper
251,844979544864018432,13.0,10.0,None,None
252,844973813909606400,12.0,10.0,Brady,None
253,844704788403113984,13.0,10.0,Luna,None
254,844580511645339650,11.0,10.0,Charlie,None
255,844223788422217728,12.0,10.0,Margo,None
256,843981021012017153,13.0,10.0,None,None
257,843856843873095681,12.0,10.0,Sadie,None
258,843604394117681152,11.0,10.0,Hank,None
259,843235543001513987,13.0,10.0,Tycho,None
261,842846295480000512,13.0,10.0,Charlie,None
262,842765311967449089,12.0,10.0,Indie,None
263,842535590457499648,13.0,10.0,Winnie,None
264,842163532590374912,12.0,10.0,George,None
265,842115215311396866,12.0,10.0,Bentley,None
267,841680585030541313,12.0,10.0,Penny,None
268,841439858740625411,14.0,10.0,None,None
269,841320156043304961,12.0,10.0,None,None
270,841314665196081154,13.0,10.0,Max,None
271,841077006473256960,12.0,10.0,Dawn,None
274,840698636975636481,10.0,10.0,None,None
275,840696689258311684,10.0,10.0,None,None
276,840632337062862849,12.0,10.0,Maddie,None
277,840370681858686976,13.0,10.0,None,None
278,840268004936019968,12.0,10.0,Monty,None
279,839990271299457024,13.0,10.0,Sojourner,None
280,839549326359670784,12.0,10.0,Winston,None
282,839239871831150596,13.0,10.0,Odie,None
283,838952994649550848,13.0,10.0,None,None
284,838921590096166913,13.0,10.0,Arlo,None
287,838561493054533637,13.0,10.0,Walter,None
288,838476387338051585,13.0,10.0,Stanley,None
290,838150277551247360,182.0,10.0,None,None
291,838085839343206401,15.0,10.0,None,None
292,838083903487373313,13.0,10.0,Daisy,None
293,837820167694528512,12.0,10.0,None,pupper
294,837482249356513284,13.0,10.0,Waffles,None
295,837471256429613056,12.0,10.0,Vincent,None
296,837366284874571778,13.0,10.0,Lucy,None
297,837110210464448512,13.0,10.0,Clark,pupper
299,836989968035819520,12.0,10.0,Mookie,None
300,836753516572119041,12.0,10.0,Meera,doggo
301,836677758902222849,11.0,10.0,Oliver,None
304,836380477523124226,12.0,10.0,Ava,pupper
305,836260088725786625,13.0,10.0,Lucy,None
306,836001077879255040,13.0,10.0,None,None
308,835574547218894849,11.0,10.0,Eli,None
311,835297930240217089,12.0,10.0,Ash,None
312,835264098648616962,12.0,10.0,Lola,None
313,835246439529840640,,,None,None
314,835172783151792128,12.0,10.0,None,None
315,835152434251116546,0.0,10.0,None,None
316,834931633769889797,12.0,10.0,Tucker,None
317,834786237630337024,13.0,10.0,Tobi,None
318,834574053763584002,13.0,10.0,None,doggo
320,834458053273591808,12.0,10.0,Chester,None
321,834209720923721728,12.0,10.0,Wilson,None
322,834167344700198914,11.0,10.0,Sunshine,None
323,834089966724603904,10.0,10.0,None,doggo
324,834086379323871233,12.0,10.0,Lipton,None
325,833863086058651648,12.0,10.0,Bentley,None
326,833826103416520705,13.0,10.0,Charlie,None
328,833722901757046785,13.0,10.0,Bronte,None
329,833479644947025920,13.0,10.0,Poppy,None
330,833124694597443584,12.0,10.0,Gidget,pupper
331,832998151111966721,13.0,10.0,Rhino,doggo
333,832757312314028032,13.0,10.0,Willow,None
334,832682457690300417,13.0,10.0,None,None
335,832645525019123713,10.0,10.0,not,None
336,832636094638288896,12.0,10.0,Orion,None
337,832397543355072512,12.0,10.0,Eevee,None
338,832369877331693569,11.0,10.0,Charlie,None
339,832273440279240704,14.0,10.0,Smiley,doggo
342,832088576586297345,,,None,None
344,832032802820481025,12.0,10.0,Miguel,doggo
345,831939777352105988,12.0,10.0,Emanuel,doggo
346,831926988323639298,12.0,10.0,None,None
347,831911600680497154,14.0,10.0,Kuyu,None
348,831670449226514432,13.0,10.0,Daisy,None
349,831650051525054464,13.0,10.0,None,None
350,831552930092285952,13.0,10.0,Dutch,None
351,831322785565769729,12.0,10.0,Pete,doggo
352,831315979191906304,13.0,10.0,None,pupper
353,831309418084069378,12.0,10.0,Scooter,None
354,831262627380748289,12.0,10.0,Tucker,None
355,830956169170665475,12.0,10.0,Reggie,None
356,830583320585068544,13.0,10.0,Lilly,None
358,830097400375152640,13.0,10.0,Samson,None
360,829861396166877184,12.0,10.0,Mia,None
361,829501995190984704,12.0,10.0,Leo,None
362,829449946868879360,11.0,10.0,None,doggo
363,829374341691346946,13.0,10.0,Astrid,doggo
364,829141528400556032,12.0,10.0,Malcolm,None
365,829011960981237760,13.0,10.0,Dexter,None
367,828770345708580865,13.0,10.0,Alfie,None
368,828708714936930305,10.0,10.0,Fiona,None
369,828650029636317184,14.0,10.0,one,None
370,828409743546925057,12.0,10.0,Mutt,None
371,828408677031882754,12.0,10.0,Bear,None
372,828381636999917570,14.0,10.0,Doobert,doggo
373,828376505180889089,13.0,10.0,Beebop,None
374,828372645993398273,12.0,10.0,Alexander,None
375,828361771580813312,12.0,10.0,None,None
376,828046555563323392,13.0,10.0,Sailer,None
377,828011680017821696,11.0,10.0,Brutus,None
378,827933404142436356,12.0,10.0,Kona,pupper
379,827653905312006145,12.0,10.0,Boots,None
380,827600520311402496,13.0,10.0,Tucker,None
381,827324948884643840,12.0,10.0,Ralphie,None
383,827199976799354881,13.0,10.0,Charlie,None
384,826958653328592898,12.0,10.0,Loki,doggo
385,826848821049180160,13.0,10.0,Cupid,doggo
387,826598799820865537,7.0,10.0,None,None
388,826598365270007810,13.0,10.0,Pawnd,None
389,826476773533745153,12.0,10.0,Pilot,doggo
390,826240494070030336,11.0,10.0,None,None
391,826204788643753985,13.0,10.0,None,doggo
392,826115272272650244,13.0,10.0,Ike,None
393,825876512159186944,11.0,10.0,Mo,None
394,825829644528148480,12.0,10.0,Toby,None
395,825535076884762624,14.0,10.0,None,puppo
396,825147591692263424,13.0,10.0,Sweet,None
398,825026590719483904,12.0,10.0,Pablo,puppo
400,824775126675836928,12.0,10.0,Scooter,None
401,824663926340194305,13.0,10.0,Wilson,None
402,824325613288833024,13.0,10.0,None,pupper
403,824297048279236611,11.0,10.0,Nala,None
404,824025158776213504,14.0,10.0,None,None
405,823939628516474880,12.0,10.0,Cash,None
407,823699002998870016,12.0,10.0,Winston,None
408,823581115634085888,11.0,10.0,Crawford,None
409,823333489516937216,13.0,10.0,None,None
410,823322678127919110,11.0,10.0,Wyatt,None
412,822975315408461824,12.0,10.0,Albus,None
413,822872901745569793,13.0,10.0,None,puppo
414,822859134160621569,12.0,10.0,Hobbes,None
416,822610361945911296,12.0,10.0,None,None
417,822489057087389700,13.0,10.0,Paisley,None
418,822462944365645825,14.0,10.0,Gabe,pupper
419,822244816520155136,11.0,10.0,None,None
421,821886076407029760,13.0,10.0,Jimison,None
423,821765923262631936,13.0,10.0,Duchess,doggo
424,821522889702862852,13.0,10.0,Harlso,None
426,821407182352777218,14.0,10.0,Sundance,doggo
427,821153421864615936,13.0,10.0,None,None
428,821149554670182400,12.0,10.0,Luca,None
429,821107785811234820,11.0,10.0,None,doggo
430,821044531881721856,12.0,10.0,Flash,None
432,820749716845686786,13.0,10.0,Sunny,None
433,820690176645140481,,,None,None
436,820314633777061888,14.0,10.0,None,None
437,820078625395449857,12.0,10.0,None,None
439,819952236453363712,13.0,10.0,Oliver,puppo
440,819924195358416896,11.0,10.0,None,doggo
441,819711362133872643,11.0,10.0,Howie,None
442,819588359383371776,13.0,10.0,Jazzy,None
443,819347104292290561,12.0,10.0,Anna,None
444,819238181065359361,10.0,10.0,None,pupper
445,819227688460238848,12.0,10.0,Finn,None
448,819006400881917954,14.0,10.0,Sunny,doggo
449,819004803107983360,14.0,10.0,Bo,doggo
451,818627210458333184,13.0,10.0,Wafer,None
452,818614493328580609,12.0,10.0,Bear,None
454,818536468981415936,11.0,10.0,Tom,None
456,818259473185828864,12.0,10.0,Florence,None
457,818145370475810820,11.0,10.0,Autumn,None
458,817908911860748288,12.0,10.0,None,None
459,817827839487737858,13.0,10.0,Buddy,None
460,817777686764523521,13.0,10.0,Dido,doggo
461,817536400337801217,12.0,10.0,Eugene,None
463,817423860136083457,13.0,10.0,Ken,None
464,817415592588222464,11.0,10.0,Strudel,None
466,817171292965273600,13.0,10.0,Tebow,None
467,817120970343411712,13.0,10.0,None,None
468,817056546584727552,11.0,10.0,Chloe,None
470,816816676327063552,12.0,10.0,Timber,None
471,816697700272001025,12.0,10.0,Binky,None
472,816450570814898180,13.0,10.0,Moose,None
473,816336735214911488,11.0,10.0,Dudley,None
474,816091915477250048,12.0,10.0,Comet,None
477,815990720817401858,11.0,10.0,Jack,None
478,815966073409433600,13.0,10.0,None,pupper
480,815736392542261248,11.0,10.0,Akumi,None
481,815639385530101762,12.0,10.0,Titan,None
482,815390420867969024,13.0,10.0,None,None
483,814986499976527872,11.0,10.0,Cooper,pupper
484,814638523311648768,12.0,10.0,Olivia,None
486,814530161257443328,12.0,10.0,Alf,None
487,814153002265309185,12.0,10.0,Oshie,None
489,813910438903693312,11.0,10.0,Chubbs,doggo
490,813812741911748608,14.0,10.0,Gary,None
491,813800681631023104,12.0,10.0,Sky,None
492,813217897535406080,13.0,10.0,Atlas,None
493,813202720496779264,11.0,10.0,None,doggo
494,813187593374461952,13.0,10.0,None,None
495,813172488309972993,12.0,10.0,Eleanor,None
496,813157409116065792,12.0,10.0,Layla,None
497,813142292504645637,13.0,10.0,None,None
498,813130366689148928,12.0,10.0,None,None
499,813127251579564032,11.0,10.0,None,doggo
500,813112105746448384,12.0,10.0,Toby,None
501,813096984823349248,11.0,10.0,Rocky,doggo
502,813081950185472002,11.0,10.0,Baron,None
503,813066809284972545,12.0,10.0,Tyr,None
504,813051746834595840,13.0,10.0,Bauer,None
505,812781120811126785,10.0,10.0,Swagger,None
507,812709060537683968,12.0,10.0,Brandi,None
508,812503143955202048,13.0,10.0,None,None
509,812466873996607488,12.0,10.0,Mary,None
510,812372279581671427,13.0,10.0,Moe,None
511,811985624773361665,11.0,10.0,Ted,None
512,811744202451197953,13.0,10.0,Halo,None
513,811647686436880384,11.0,10.0,None,None
514,811627233043480576,10.0,10.0,Augie,None
515,811386762094317568,11.0,10.0,Craig,pupper
516,810984652412424192,,,Sam,None
517,810896069567610880,11.0,10.0,Hunter,None
518,810657578271330305,11.0,10.0,Pavlov,None
519,810284430598270976,13.0,10.0,Phil,None
520,810254108431155201,12.0,10.0,Gus,None
521,809920764300447744,10.0,10.0,None,None
523,809448704142938112,12.0,10.0,None,None
524,809220051211603969,12.0,10.0,Kyro,None
525,809084759137812480,11.0,10.0,Wallace,None
526,808838249661788160,13.0,10.0,Ito,None
527,808733504066486276,12.0,10.0,None,pupper
528,808501579447930884,12.0,10.0,Koda,None
529,808344865868283904,11.0,10.0,Seamus,None
531,808106460588765185,12.0,10.0,None,doggo
532,808001312164028416,12.0,10.0,Cooper,None
533,807621403335917568,14.0,10.0,Ollie,pupper
534,807106840509214720,13.0,10.0,Stephan,None
536,807010152071229440,12.0,10.0,Lennon,None
537,806629075125202948,13.0,10.0,None,None
539,806576416489959424,13.0,10.0,None,None
540,806542213899489280,11.0,10.0,Waffles,None
542,806219024703037440,11.0,10.0,incredibly,None
544,805932879469572096,12.0,10.0,Major,None
545,805826884734976000,12.0,10.0,Duke,None
547,805520635690676224,13.0,10.0,Zeke,None
548,805487436403003392,12.0,10.0,Sansa,None
549,805207613751304193,12.0,10.0,Shooter,None
550,804738756058218496,12.0,10.0,Django,None
551,804475857670639616,13.0,10.0,None,None
553,804026241225523202,13.0,10.0,Bo,None
554,803773340896923648,12.0,10.0,Diogi,puppo
556,803638050916102144,13.0,10.0,None,pupper
557,803380650405482500,12.0,10.0,Sonny,None
559,803276597545603072,11.0,10.0,Winston,None
560,802952499103731712,12.0,10.0,Marley,None
562,802600418706604034,11.0,10.0,Bailey,None
563,802572683846291456,12.0,10.0,Winnie,None
564,802323869084381190,13.0,10.0,Severus,None
565,802265048156610565,11.0,10.0,None,doggo
567,802239329049477120,12.0,10.0,Loki,puppo
569,801958328846974976,12.0,10.0,Ronnie,None
570,801854953262350336,11.0,10.0,None,None
571,801538201127157760,12.0,10.0,Wallace,None
572,801285448605831168,10.0,10.0,None,None
573,801167903437357056,13.0,10.0,Milo,None
575,801115127852503040,12.0,10.0,Bones,doggo
576,800859414831898624,11.0,10.0,None,doggo
578,800751577355128832,12.0,10.0,Mauve,None
579,800513324630806528,11.0,10.0,Chef,None
580,800459316964663297,12.0,10.0,None,pupper
582,800388270626521089,12.0,10.0,Doc,floofer
584,800141422401830912,13.0,10.0,Peaches,None
585,800018252395122689,11.0,10.0,None,doggo
587,799757965289017345,13.0,10.0,Sobe,doggo
588,799422933579902976,12.0,10.0,Longfellow,None
590,799297110730567681,11.0,10.0,Jeffrey,None
591,799063482566066176,11.0,10.0,Mister,None
592,798933969379225600,12.0,10.0,Iroh,None
593,798925684722855936,11.0,10.0,Shadow,None
607,798209839306514432,13.0,10.0,Cooper,None
608,797971864723324932,12.0,10.0,None,pupper
609,797545162159308800,12.0,10.0,Cassie,None
610,797236660651966464,12.0,10.0,Pancake,None
611,797165961484890113,11.0,10.0,None,None
613,796865951799083009,12.0,10.0,Tyr,None
614,796759840936919040,11.0,10.0,Romeo,None
616,796484825502875648,12.0,10.0,None,doggo
617,796387464403357696,12.0,10.0,Snicku,None
619,796149749086875649,11.0,10.0,Ruby,None
620,796125600683540480,13.0,10.0,None,None
621,796116448414461957,11.0,10.0,None,None
622,796080075804475393,12.0,10.0,Yogi,None
623,796031486298386433,13.0,10.0,Daisy,None
624,795464331001561088,13.0,10.0,None,doggo
625,795400264262053889,12.0,10.0,Brody,None
626,795076730285391872,11.0,10.0,Bailey,None
628,794926597468000259,12.0,10.0,Mack,None
630,794332329137291264,12.0,10.0,Nimbus,None
631,794205286408003585,14.0,10.0,Laika,pupper
632,793962221541933056,12.0,10.0,Maximus,None
633,793845145112371200,13.0,10.0,Clark,None
635,793601777308463104,12.0,10.0,Dobby,None
636,793500921481273345,12.0,10.0,Fiona,None
637,793286476301799424,13.0,10.0,Moreton,None
638,793271401113350145,12.0,10.0,Dave,None
639,793256262322548741,12.0,10.0,None,None
640,793241302385262592,13.0,10.0,Tucker,None
641,793226087023144960,11.0,10.0,Juno,None
642,793210959003287553,10.0,10.0,Maude,None
643,793195938047070209,12.0,10.0,Lily,puppo
644,793180763617361921,11.0,10.0,Newt,None
645,793165685325201412,12.0,10.0,Benji,None
646,793150605191548928,11.0,10.0,Nida,None
647,793135492858580992,13.0,10.0,None,None
648,793120401413079041,11.0,10.0,Robin,None
649,792913359805018113,13.0,10.0,None,None
650,792883833364439040,12.0,10.0,Bailey,None
651,792773781206999040,12.0,10.0,Monster,None
652,792394556390137856,12.0,10.0,BeBe,None
653,792050063153438720,11.0,10.0,Remus,None
657,791774931465953280,14.0,10.0,None,None
658,791672322847637504,13.0,10.0,None,None
659,791406955684368384,12.0,10.0,Levi,None
660,791312159183634433,12.0,10.0,Mabel,None
662,790987426131050500,12.0,10.0,Misty,None
663,790946055508652032,12.0,10.0,Betty,puppo
665,790698755171364864,12.0,10.0,Mosby,None
666,790581949425475584,11.0,10.0,Duke,None
667,790337589677002753,12.0,10.0,Maggie,None
668,790277117346975746,11.0,10.0,Bruce,None
670,789986466051088384,12.0,10.0,Happy,None
672,789903600034189313,13.0,10.0,Ralphy,pupper
673,789628658055020548,13.0,10.0,Eli,None
674,789599242079838210,12.0,10.0,Brownie,None
675,789530877013393408,12.0,10.0,Rizzy,None
676,789314372632018944,13.0,10.0,None,None
678,789268448748703744,10.0,10.0,Stella,None
679,789137962068021249,12.0,10.0,Bo,None
680,788908386943430656,11.0,10.0,Lucy,None
681,788765914992902144,12.0,10.0,Butter,None
683,788412144018661376,11.0,10.0,Dexter,None
684,788178268662984705,13.0,10.0,None,None
685,788150585577050112,13.0,10.0,Leo,None
687,788039637453406209,12.0,10.0,None,None
688,787810552592695296,11.0,10.0,Frank,None
689,787717603741622272,13.0,10.0,Tonks,puppo
690,787397959788929025,11.0,10.0,Moose,None
691,787322443945877504,10.0,10.0,Lincoln,None
693,786963064373534720,12.0,10.0,Rory,None
695,786709082849828864,75.0,10.0,Logan,None
696,786664955043049472,12.0,10.0,None,None
697,786595970293370880,11.0,10.0,Dale,None
698,786363235746385920,13.0,10.0,Rizzo,doggo
699,786286427768250368,12.0,10.0,Arnie,None
700,786233965241827333,11.0,10.0,Mattie,None
701,786051337297522688,13.0,10.0,None,puppo
703,785927819176054784,12.0,10.0,Lucy,None
704,785872687017132033,12.0,10.0,Rusty,None
705,785639753186217984,10.0,10.0,Pinot,doggo
706,785533386513321988,11.0,10.0,Dallas,None
707,785515384317313025,10.0,10.0,None,None
708,785264754247995392,12.0,10.0,Doc,None
709,785170936622350336,11.0,10.0,Hero,None
710,784826020293709826,13.0,10.0,Rusty,None
711,784517518371221505,11.0,10.0,Frankie,None
712,784431430411685888,12.0,10.0,Stormy,None
713,784183165795655680,12.0,10.0,Reginald,puppo
714,784057939640352768,12.0,10.0,Balto,None
715,783839966405230592,13.0,10.0,Riley,None
716,783821107061198850,12.0,10.0,Mairi,None
717,783695101801398276,12.0,10.0,Loomis,None
718,783466772167098368,11.0,10.0,Finn,None
719,783391753726550016,13.0,10.0,Godi,None
721,783334639985389568,12.0,10.0,Dave,None
722,783085703974514689,11.0,10.0,Earl,None
723,782969140009107456,12.0,10.0,Cali,None
724,782747134529531904,11.0,10.0,Deacon,doggo
725,782722598790725632,10.0,10.0,Penny,None
726,782598640137187329,11.0,10.0,Timmy,None
727,782305867769217024,12.0,10.0,Sampson,doggo
729,781955203444699136,11.0,10.0,Chipson,None
730,781661882474196992,5.0,10.0,None,None
731,781655249211752448,11.0,10.0,Combo,doggo
732,781524693396357120,12.0,10.0,None,None
733,781308096455073793,12.0,10.0,None,doggo
734,781251288990355457,11.0,10.0,Oakley,None
735,781163403222056960,10.0,10.0,None,None
736,780931614150983680,13.0,10.0,None,puppo
737,780858289093574656,10.0,10.0,Dash,None
738,780800785462489090,11.0,10.0,Koda,None
